#{"t_start": 1764490025.1546538, "env_id": "None"}
r,l,t
219.481941,500,9.852282
221.56856,500,18.891466
189.386866,421,26.653689
222.248974,500,35.953607
225.708748,500,45.203316
219.953689,499,54.286053
218.814361,500,63.580397
204.46095,447,71.980247
234.808842,500,81.480761
228.47483,498,90.390674
182.486642,408,97.353434
221.10254,500,105.593594
138.743901,283,110.285819
221.340483,500,118.330444
220.489778,500,126.477243
219.962914,500,135.874218
213.720818,500,144.747664
222.796817,500,153.860104
183.611562,413,162.043646
227.559025,500,171.063608
218.460613,500,179.882504
219.415443,500,188.716192
222.541185,500,197.376331
230.754927,500,206.165237
194.181471,424,213.879009
102.763292,191,217.686908
233.160758,500,226.435542
225.262704,500,235.264105
217.337206,500,244.018733
216.336314,500,252.813616
218.478621,460,261.029223
223.559661,500,269.7932
173.048577,388,276.765966
216.732199,500,285.468982
90.100002,202,289.250139
104.827218,239,293.66457
223.978011,500,302.478008
223.708742,500,311.489802
225.486632,500,320.779477
222.350757,500,329.713949
215.560293,500,338.962847
219.846264,500,347.954711
225.558928,500,357.110055
220.300099,500,365.684669
225.748508,500,374.04895
217.026893,500,382.823485
217.476388,500,391.588874
214.868362,500,400.164822
177.976707,417,407.511554
222.877905,500,416.241976
217.946144,500,425.157669
226.287882,500,433.786619
110.116204,205,437.78861
226.270433,500,446.549871
223.56786,500,455.403914
220.489367,500,464.283011
230.120126,500,473.049404
227.736033,500,481.987211
222.834804,491,490.760794
223.096191,500,499.556778
209.258097,500,508.213068
223.057976,500,516.99645
223.771701,500,525.657483
228.165037,500,534.265265
226.674873,500,542.982402
223.172536,500,551.75935
224.295199,500,560.41259
220.994208,500,569.027292
225.150303,500,577.548932
220.105569,500,586.224195
226.093693,500,594.972819
226.76393,500,603.738515
224.874879,500,612.360815
221.963625,500,621.093389
213.226556,500,629.875695
228.797901,500,638.534008
214.432848,500,647.110292
217.922975,500,655.873807
103.087693,192,659.53585
220.080502,500,668.306628
209.910898,500,676.824554
220.396,500,685.466091
233.520677,500,694.262257
